trace_group,task_type,agent,reported_rows,exported_ok,export_errors,sample_trace_files,reported_rows_csv,manifest_csv,manifest_json,error_sample_ids
crash_codex_gpt-5.6,crash,OpenAI Codex,100,100,0,100,reports/current_results/reported_execution_traces/crash_codex_gpt-5.6/reported_rows.csv,reports/current_results/reported_execution_traces/crash_codex_gpt-5.6/manifest.csv,reports/current_results/reported_execution_traces/crash_codex_gpt-5.6/manifest.json,
crash_kimi_kimi-k3,crash,Kimi Code,100,100,0,100,reports/current_results/reported_execution_traces/crash_kimi_kimi-k3/reported_rows.csv,reports/current_results/reported_execution_traces/crash_kimi_kimi-k3/manifest.csv,reports/current_results/reported_execution_traces/crash_kimi_kimi-k3/manifest.json,
full_codex_gpt-5.6,full,OpenAI Codex,100,100,0,100,reports/current_results/reported_execution_traces/full_codex_gpt-5.6/reported_rows.csv,reports/current_results/reported_execution_traces/full_codex_gpt-5.6/manifest.csv,reports/current_results/reported_execution_traces/full_codex_gpt-5.6/manifest.json,
full_kimi_kimi-k3,full,Kimi Code,100,98,2,98,reports/current_results/reported_execution_traces/full_kimi_kimi-k3/reported_rows.csv,reports/current_results/reported_execution_traces/full_kimi_kimi-k3/manifest.csv,reports/current_results/reported_execution_traces/full_kimi_kimi-k3/manifest.json,"10574,17778"
