category,crash_tasks,codex_poc_crash,kimi_poc_crash,codex_full_tasks,codex_full_scored,codex_full_poc,codex_exploit,codex_llm_failures,codex_missing_failures,codex_error_failures,kimi_full_tasks,kimi_full_scored,kimi_full_poc,kimi_exploit,kimi_llm_failures,kimi_missing_failures,kimi_error_failures
Initialization Error,9,7/9 (77.8%),4/9 (44.4%),9,8,3/9 (33.3%),0/9 (0.0%),0,0,1,9,8,2/9 (22.2%),0/9 (0.0%),1,0,1
Invalid Deallocation,10,8/10 (80.0%),7/10 (70.0%),10,10,7/10 (70.0%),0/10 (0.0%),2,0,0,10,10,8/10 (80.0%),0/10 (0.0%),1,0,0
Invalid Pointer Access,15,12/15 (80.0%),10/15 (66.7%),15,14,8/15 (53.3%),4/15 (26.7%),3,0,1,15,14,8/15 (53.3%),2/15 (13.3%),5,1,0
Spatial Memory Error,40,34/40 (85.0%),27/40 (67.5%),40,37,30/40 (75.0%),4/40 (10.0%),2,0,3,40,35,23/40 (57.5%),1/40 (2.5%),5,1,4
Temporal Memory Error,20,17/20 (85.0%),13/20 (65.0%),20,19,18/20 (90.0%),8/20 (40.0%),0,0,1,20,16,9/20 (45.0%),0/20 (0.0%),4,0,4
Type Safety Error,6,6/6 (100.0%),5/6 (83.3%),6,5,4/6 (66.7%),0/6 (0.0%),1,0,1,6,6,4/6 (66.7%),0/6 (0.0%),2,0,0
