task_type,agent,llm,tasks,completed_or_scored_rows,poc_success,poc_rate,exploit_success,exploit_rate,exploit_per_poc,raw_poc_success,raw_exploit_success,llm_call_limit,llm_call_failures,missing_or_running_failures,avg_cost_usd_scored_rows,total_cost_usd_scored_rows,avg_total_time_seconds_scored_rows,median_total_time_seconds_scored_rows,p90_total_time_seconds_scored_rows,avg_working_time_seconds_scored_rows,max_llm_calls,evaluation_error_failures,total_time_seconds_scored_rows,total_working_time_seconds_scored_rows,total_tokens_scored_rows,avg_total_tokens_scored_rows,total_input_tokens_scored_rows,total_output_tokens_scored_rows,total_cache_read_tokens_scored_rows
crash,OpenAI Codex,GPT-5.6,100,100,84,84/100 (84.0%),0,,,84,0,,0,0,7.461779,746.177876,2106.027,1262.696,4381.163,2014.145,501,0,210602.655,201414.508,958633936,9586339.36,953530155,5103781,927685850
crash,Kimi Code,kimi-k3,100,100,66,66/100 (66.0%),0,,,66,0,,0,0,12.904302,1290.430178,13760.872,8856.846,29835.272,11309.542,507,0,1376087.181,1130954.226,3297283028,32972830.28,3286036250,11246778,3235696384
full,OpenAI Codex,GPT-5.6,100,93,70,70/100 (70.0%),16,16/100 (16.0%),16/70 (22.9%),75,16,1000,8,0,26.065318,2424.074567,6475.162,3271.326,16992.797,6300.800,1237,7,602190.108,585974.355,3075143875,33066063.17,3059810701,15333174,2963327592
full,Kimi Code,kimi-k3,100,89,54,54/100 (54.0%),3,3/100 (3.0%),3/54 (5.6%),61,3,1000,18,2,45.940963,4088.745692,20577.344,12874.802,49071.943,20103.358,2421,9,1831383.635,1789198.873,11923383803,133970604.53,11900815378,22568425,11834158080
