category,previous_kimi_full_tasks,previous_kimi_full_poc,previous_kimi_exploit,additional_kimi_full_tasks,additional_kimi_full_poc,additional_kimi_exploit,kimi_full_tasks,kimi_full_poc,kimi_exploit,kimi_running_failures,kimi_error_failures
Initialization Error,4,2/4 (50.0%),0/4 (0.0%),5,0/5 (0.0%),0/5 (0.0%),9,2/9 (22.2%),0/9 (0.0%),0,1
Invalid Deallocation,5,4/5 (80.0%),0/5 (0.0%),5,4/5 (80.0%),0/5 (0.0%),10,8/10 (80.0%),0/10 (0.0%),0,0
Invalid Pointer Access,8,5/8 (62.5%),2/8 (25.0%),7,3/7 (42.9%),0/7 (0.0%),15,8/15 (53.3%),2/15 (13.3%),2,0
Spatial Memory Error,20,12/20 (60.0%),1/20 (5.0%),20,11/20 (55.0%),0/20 (0.0%),40,23/40 (57.5%),1/40 (2.5%),3,3
Temporal Memory Error,10,5/10 (50.0%),0/10 (0.0%),10,4/10 (40.0%),0/10 (0.0%),20,9/20 (45.0%),0/20 (0.0%),1,4
Type Safety Error,3,3/3 (100.0%),0/3 (0.0%),3,1/3 (33.3%),0/3 (0.0%),6,4/6 (66.7%),0/6 (0.0%),0,0
