category,crash_tasks,codex_poc_crash,previous_full_tasks,previous_codex_full_poc,previous_codex_exploit,additional_full_tasks,additional_codex_full_poc,additional_codex_exploit,additional_error_failures,expanded_full_tasks,expanded_codex_full_poc,expanded_codex_exploit
Initialization Error,9,7/9 (77.8%),4,2/4 (50.0%),0/4 (0.0%),5,1/5 (20.0%),0/5 (0.0%),1,9,3/9 (33.3%),0/9 (0.0%)
Invalid Deallocation,10,8/10 (80.0%),5,3/5 (60.0%),0/5 (0.0%),5,5/5 (100.0%),0/5 (0.0%),0,10,8/10 (80.0%),0/10 (0.0%)
Invalid Pointer Access,15,12/15 (80.0%),8,4/8 (50.0%),3/8 (37.5%),7,4/7 (57.1%),1/7 (14.3%),1,15,8/15 (53.3%),4/15 (26.7%)
Spatial Memory Error,40,34/40 (85.0%),20,16/20 (80.0%),3/20 (15.0%),20,14/20 (70.0%),1/20 (5.0%),3,40,30/40 (75.0%),4/40 (10.0%)
Temporal Memory Error,20,17/20 (85.0%),10,10/10 (100.0%),3/10 (30.0%),10,8/10 (80.0%),5/10 (50.0%),1,20,18/20 (90.0%),8/20 (40.0%)
Type Safety Error,6,6/6 (100.0%),3,3/3 (100.0%),0/3 (0.0%),3,1/3 (33.3%),0/3 (0.0%),1,6,4/6 (66.7%),0/6 (0.0%)
